Nummer ;Kookkurrent;Frequenz;Co-Frequenz;Kookkurrenzwert;Mittlerer Abstand
150;risonan;5;2;3;2
151;versin;5;2;3;0
152;tributo;48;4;3;3,8
153;conversi;49;4;3;1
154;damma;22;3;3;2,3
155;lavar;22;3;3;4,7
156;colle;232;8;3;2,9
157;vaghi;353;10;3;3,8
158;stanchi;88;5;3;3,4
159;ove;2262;34;3;3,5
160;d'elicona;23;3;3;1
161;corre;183;7;3;2,1
162;abondante;6;2;2;0
163;incenerir;6;2;2;4
164;l'appennin;6;2;2;4,5
165;limpidi;6;2;2;0
166;rubi;6;2;2;2,5
167;torrente;24;3;2;1
168;versan;24;3;2;1,7
169;vicino;187;7;2;6,4
170;cittadi;25;3;2;1,3
171;colmi;25;3;2;3,3
172;selva;191;7;2;2,3
173;odi;96;5;2;4
174;converse;57;4;2;3,2
175;miei;2057;31;2;5,2
176;stigio;7;2;2;0
177;lucidi;27;3;2;2
178;armenti;99;5;2;6,2
179;astrea;28;3;2;3,3
180;confini;28;3;2;2
181;spargi;28;3;2;3,3
182;udite;61;4;2;4
183;ceranta;8;2;2;1
184;collegio;8;2;2;3,5
185;orbata;8;2;2;2
186;traete;8;2;2;3
187;versate;8;2;2;3
188;giacque;105;5;2;4,2
189;altri;1401;23;2;3,7
190;april;30;3;2;5,7
191;esci;30;3;2;3,7
192;sco;30;3;2;0
193;doi;64;4;2;2,5
194;versi;468;11;2;4
195;avventuroso;31;3;2;2,7
196;lungo;545;12;2;3,7
197;arresta;9;2;2;2,5
198;m'intende;9;2;2;0
199;sal;9;2;2;3
200;selvagia;9;2;2;1
201;sparge;113;5;2;1
202;intorno;943;17;2;4,7
203;d'acqua;34;3;2;3
204;rendete;34;3;2;4
205;sommerse;10;2;2;1
206;strate;10;2;2;1,5
207;alpe;35;3;2;0,7
208;nacqui;72;4;2;4,8
209;veloci;72;4;2;1,2
210;mincio;73;4;2;3
211;aprica;36;3;2;4,3
212;d'oro;427;10;2;4,3
213;acqua;120;5;2;1,2
214;paese;173;6;2;5
215;aure;74;4;2;2,8
216;ghiaccio;296;8;2;6,2
217;cadi;11;2;2;1,5
218;castella;11;2;2;1,5
219;transformato;11;2;2;1,5
220;sterpi;38;3;2;2
221;torbido;38;3;2;2
222;vedeste;38;3;2;2,7
223;t;78;4;2;3,2
224;corra;39;3;2;2,3
225;vènti;39;3;2;2
226;gir;305;8;2;4
227;castalio;12;2;2;0
228;menar;40;3;2;3,3
229;presume;41;3;2;4,7
230;corno;82;4;2;2,5
231;letto;187;6;2;3,5
232;assedio;13;2;2;3,5
233;palude;13;2;2;0,5
234;periglioso;43;3;2;0,7
235;famoso;135;5;2;1
236;indietro;136;5;2;3
237;densi;14;2;2;0
238;lethe;14;2;2;3
239;piagnendo;14;2;2;3,5
240;prometti;14;2;2;3
241;scendon;14;2;2;2
242;durenza;45;3;2;3
243;l'estreme;15;2;2;3
244;augelli;90;4;2;4,8
245;gli;7336;81;2;4,4
246;infiora;47;3;2;3,7
247;s'acquista;47;3;2;4,7
248;dui;144;5;2;1,8
249;lito;92;4;2;4,5
250;patrio;48;3;2;3
251;onde;2795;36;2;4,3
252;veloce;205;6;2;2,7
253;amaramente;16;2;2;0,5
254;gorgo;16;2;2;4,5
255;humore;16;2;2;3,5
256;sacrati;16;2;2;0
257;tedesco;16;2;2;3
258;augei;50;3;2;2
259;avean;50;3;2;2
260;d'argento;50;3;2;2,3
261;imagine;50;3;2;5
262;venner;17;2;2;3
263;l'alpe;51;3;2;2,3
264;l'altero;51;3;2;1
265;piangete;98;4;2;5,8
266;vivi;279;7;2;3
267;tempestoso;52;3;2;3,3
268;caverne;18;2;2;4
269;mencio;18;2;2;1,5
270;ruscello;18;2;2;3,5
271;istesso;53;3;2;1,3
272;costumi;217;6;2;4,8
273;real;217;6;2;2,5
274;degli;426;9;2;2,6
