Nummer ;Kookkurrent;Frequenz;Co-Frequenz;Kookkurrenzwert;Mittlerer Abstand
185;rabbioso;19;2;2;0,5
186;satiri;19;2;2;1,5
187;ch'oggi;128;4;2;4,5
188;albergo;400;7;2;2,4
189;gioven;20;2;2;1,5
190;persona;133;4;2;2,2
191;lassai;21;2;2;3
192;lamenti;217;5;2;4
193;pel;137;4;2;0,5
194;allori;70;3;2;4,3
195;poggio;70;3;2;3,3
196;aprici;22;2;2;3
197;d'erba;22;2;2;2,5
198;suore;22;2;2;2,5
199;oscuri;72;3;2;0
200;giornate;23;2;2;1
201;dove;1963;19;2;4,1
202;ogni;3912;32;2;3,7
203;diverse;74;3;2;3,7
204;dipinti;24;2;2;2,5
205;ghiande;24;2;2;3
206;leoni;24;2;2;4
207;lieti;329;6;2;4,8
208;biade;25;2;2;2
209;secche;25;2;2;0,5
210;pianta;439;7;2;4,1
211;cogliendo;26;2;2;4
212;dafne;26;2;2;3
213;ov'egli;26;2;2;1
214;teso;26;2;2;1
215;errando;81;3;2;0
216;d'intorno;245;5;2;3
217;d'ombre;28;2;2;2
218;giacea;28;2;2;3
219;riconosco;28;2;2;3,5
220;rigido;28;2;2;2,5
221;tenero;28;2;2;1
222;fosco;159;4;2;5,5
223;fiesole;29;2;2;3,5
224;vaghi;353;6;2;3,7
225;mosso;87;3;2;3,7
226;crudelmente;30;2;2;1
227;infiniti;30;2;2;2
228;ladri;30;2;2;0,5
229;verdeggia;30;2;2;0
